Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PenugasanSubmit,,"Mengerjakan Penugasan Sampai Submit
Sync Task > Penugasan (Via Menu Button)",,2023-07-14 15:56:07,2023-07-14 15:57:47,1m - 39.453s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/PenugasanSyncTask,,Melakukan Sync Task,,2023-07-14 15:56:08,2023-07-14 15:56:38,30.527s,PASSED
"startExistingApplication(""pkp.mobile.fmui"")",,,,2023-07-14 15:56:08,2023-07-14 15:56:31,22.896s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/homePage/androidButtonProfile""), 0)",,,,2023-07-14 15:56:31,2023-07-14 15:56:32,0.832s,PASSED
"verifyElementVisible(findTestObject(""android.Page.ProfileView""), 0)",,,,2023-07-14 15:56:32,2023-07-14 15:56:33,0.287s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/profilePage/android.profilePage.ButtonSyncTask""), 0)",,,,2023-07-14 15:56:33,2023-07-14 15:56:33,0.802s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-14 15:56:33,2023-07-14 15:56:38,5.076s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/Penugasan_SampaiDraft,,,,2023-07-14 15:56:38,2023-07-14 15:57:01,23.011s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-14 15:56:39,2023-07-14 15:56:44,5.014s,PASSED
"verifyElementVisible(findTestObject(""android.Page.ProfileView""), 3)",,,,2023-07-14 15:56:44,2023-07-14 15:56:44,0.252s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-14 15:56:44,2023-07-14 15:56:49,5.020s,PASSED
"tap(findTestObject(""androidButtonMenu""), 0)",,,,2023-07-14 15:56:49,2023-07-14 15:56:50,1.048s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/menuPage/android.menuPage.Button.Penugasan""), 0)",,,,2023-07-14 15:56:50,2023-07-14 15:56:51,0.296s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.cardPenugasan""), 0)",,,,2023-07-14 15:56:51,2023-07-14 15:56:53,2.369s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Selanjutnya""), 0)",,,,2023-07-14 15:56:53,2023-07-14 15:56:54,1.256s,PASSED
"swipe(0, 1926, 0, 1472)",,,,2023-07-14 15:56:54,2023-07-14 15:56:55,1.107s,PASSED
"verifyElementExist(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 3)",,,,2023-07-14 15:56:55,2023-07-14 15:56:56,0.454s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 0)",,,,2023-07-14 15:56:56,2023-07-14 15:56:57,1.131s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-14 15:56:57,2023-07-14 15:56:58,1.392s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-14 15:56:58,2023-07-14 15:56:59,0.882s,PASSED
