Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PenugasanSubmit,,"Mengerjakan Penugasan Sampai Submit
Sync Task > Penugasan (Via Menu Button)",,2023-07-14 15:20:24,2023-07-14 15:22:34,2m - 10.287s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/PenugasanSyncTask,,Melakukan Sync Task,,2023-07-14 15:20:24,2023-07-14 15:20:57,33.003s,PASSED
"startExistingApplication(""pkp.mobile.fmui"")",,,,2023-07-14 15:20:25,2023-07-14 15:20:54,29.279s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/homePage/androidButtonProfile""), 0)",,,,2023-07-14 15:20:54,2023-07-14 15:20:55,1.079s,PASSED
"verifyElementVisible(findTestObject(""android.Page.ProfileView""), 0)",,,,2023-07-14 15:20:55,2023-07-14 15:20:56,0.942s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/profilePage/android.profilePage.ButtonSyncTask""), 0)",,,,2023-07-14 15:20:56,2023-07-14 15:20:57,0.883s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/Penugasan_SampaiDraft,,,,2023-07-14 15:20:57,2023-07-14 15:21:51,53.785s,PASSED
"waitForElementPresent(findTestObject(""android.Page.ProfileView""), 0)",,,,2023-07-14 15:20:58,2023-07-14 15:21:00,2.236s,PASSED
"verifyElementVisible(findTestObject(""android.Page.ProfileView""), 0)",,,,2023-07-14 15:21:00,2023-07-14 15:21:01,0.358s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/homePage/androidButtonMenu""), 0)",,,,2023-07-14 15:21:01,2023-07-14 15:21:01,0.389s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/menuPage/android.menuPage.Button.Penugasan""), 0)",,,,2023-07-14 15:21:01,2023-07-14 15:21:43,42.056s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.cardPenugasan""), 0)",,,,2023-07-14 15:21:43,2023-07-14 15:21:44,0.336s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Selanjutnya""), 0)",,,,2023-07-14 15:21:44,2023-07-14 15:21:46,2.396s,PASSED
"swipe(0, 1926, 0, 1472)",,,,2023-07-14 15:21:46,2023-07-14 15:21:47,1.145s,PASSED
"verifyElementExist(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 3)",,,,2023-07-14 15:21:47,2023-07-14 15:21:47,0.296s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 0)",,,,2023-07-14 15:21:47,2023-07-14 15:21:49,1.150s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-14 15:21:49,2023-07-14 15:21:49,0.447s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-14 15:21:49,2023-07-14 15:21:51,1.694s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.popUpPage.yesButton""), 0)",,,,2023-07-14 15:21:51,2023-07-14 15:21:51,0.312s,PASSED
,,,,,,,
Test Cases/PenugasanTimsusOrReguler_BelumAdaKesepakatan,,,,2023-07-14 15:21:51,2023-07-14 15:22:34,42.970s,PASSED
"verifyElementVisible(findTestObject(""android.widget.Button""), 0)",,,,2023-07-14 15:21:52,2023-07-14 15:21:52,0.327s,PASSED
"tap(findTestObject(""android.widget.Button""), 0)",,,,2023-07-14 15:21:52,2023-07-14 15:21:53,1.208s,PASSED
"swipe(0, 1926, 0, 1472)",,,,2023-07-14 15:21:53,2023-07-14 15:21:54,1.073s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button (1)""), 0)",,,,2023-07-14 15:21:54,2023-07-14 15:21:55,1.094s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question1""), 0)",,,,2023-07-14 15:21:55,2023-07-14 15:21:57,1.223s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL1.List1""), 0)",,,,2023-07-14 15:21:57,2023-07-14 15:21:59,2.034s,PASSED
"tap(findTestObject(""Object Repository/android.view.View""), 0)",,,,2023-07-14 15:21:59,2023-07-14 15:22:00,1.058s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL1.List2""), 0)",,,,2023-07-14 15:22:00,2023-07-14 15:22:01,1.369s,PASSED
"tap(findTestObject(""Object Repository/android.view.View (1)""), 0)",,,,2023-07-14 15:22:01,2023-07-14 15:22:02,1.065s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL1.List3""), 0)",,,,2023-07-14 15:22:02,2023-07-14 15:22:03,1.191s,PASSED
"tap(findTestObject(""Object Repository/android.view.View (2)""), 0)",,,,2023-07-14 15:22:03,2023-07-14 15:22:04,1.062s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL1.List4""), 0)",,,,2023-07-14 15:22:04,2023-07-14 15:22:05,0.276s,PASSED
"tap(findTestObject(""Object Repository/android.view.View (3)""), 0)",,,,2023-07-14 15:22:05,2023-07-14 15:22:07,2.116s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL1.List5""), 0)",,,,2023-07-14 15:22:07,2023-07-14 15:22:07,0.420s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question2""), 0)",,,,2023-07-14 15:22:07,2023-07-14 15:22:09,1.691s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL2.List1""), 0)",,,,2023-07-14 15:22:09,2023-07-14 15:22:10,1.099s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question3""), 0)",,,,2023-07-14 15:22:10,2023-07-14 15:22:12,1.725s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL3.List1""), 0)",,,,2023-07-14 15:22:12,2023-07-14 15:22:13,1.075s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question4""), 0)",,,,2023-07-14 15:22:13,2023-07-14 15:22:14,1.164s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL4.List1""), 0)",,,,2023-07-14 15:22:14,2023-07-14 15:22:15,1.073s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question5""), 0)",,,,2023-07-14 15:22:15,2023-07-14 15:22:16,1.187s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL5.List1""), 0)",,,,2023-07-14 15:22:16,2023-07-14 15:22:17,1.088s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question6""), 0)",,,,2023-07-14 15:22:17,2023-07-14 15:22:19,1.786s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.OKDatePicker.Question6""), 0)",,,,2023-07-14 15:22:19,2023-07-14 15:22:20,0.548s,PASSED
"swipe(0, 2113, 0, 1690)",,,,2023-07-14 15:22:20,2023-07-14 15:22:21,1.121s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question7(RegulerAndTimsus)""), 0)",,,,2023-07-14 15:22:21,2023-07-14 15:22:22,1.336s,PASSED
"sendKeys(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/DEL""), ""0817042023"")",,,,2023-07-14 15:22:22,2023-07-14 15:22:23,0.594s,PASSED
hideKeyboard(),,,,2023-07-14 15:22:23,2023-07-14 15:22:25,1.953s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question8(RegulerAndTimsus)""), 0)",,,,2023-07-14 15:22:25,2023-07-14 15:22:26,1.546s,PASSED
"sendKeys(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/DEL (1)""), ""AutomateTest 17032023"")",,,,2023-07-14 15:22:26,2023-07-14 15:22:28,1.469s,PASSED
hideKeyboard(),,,,2023-07-14 15:22:28,2023-07-14 15:22:30,1.886s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Kirim(RegulerAndTimsus)""), 0)",,,,2023-07-14 15:22:30,2023-07-14 15:22:32,1.865s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.backToMainPage""), 0)",,,,2023-07-14 15:22:32,2023-07-14 15:22:33,1.098s,PASSED
closeApplication(),,,,2023-07-14 15:22:33,2023-07-14 15:22:34,1.355s,PASSED
