Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
androidLoginLogOut,,,,2023-07-17 11:44:16,2023-07-17 11:45:07,51.096s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/androidLogin,,,,2023-07-17 11:44:17,2023-07-17 11:44:50,33.152s,PASSED
"startApplication(""C:\Adwityo\FM-UI\APK-DEV\fmui-dev-1.91.apk"", false)",,,,2023-07-17 11:44:18,2023-07-17 11:44:38,20.384s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/loginPage/android.loginPage.Field.Username""), 0)",,,,2023-07-17 11:44:38,2023-07-17 11:44:43,5.150s,PASSED
driver = getDriver(),,,,2023-07-17 11:44:43,2023-07-17 11:44:43,0.001s,PASSED
"getKeyboard().sendKeys(""mitra130323"")",,,,2023-07-17 11:44:43,2023-07-17 11:44:44,0.668s,PASSED
hideKeyboard(),,,,2023-07-17 11:44:44,2023-07-17 11:44:46,1.728s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/loginPage/android.loginPage.Field.Password""), 0)",,,,2023-07-17 11:44:46,2023-07-17 11:44:47,0.779s,PASSED
"getKeyboard().sendKeys(""1234Qwer"")",,,,2023-07-17 11:44:47,2023-07-17 11:44:47,0.469s,PASSED
hideKeyboard(),,,,2023-07-17 11:44:47,2023-07-17 11:44:49,1.582s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/loginPage/androidButtonLogin""), 2)",,,,2023-07-17 11:44:49,2023-07-17 11:44:50,1.314s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/androidLogout,,,,2023-07-17 11:44:50,2023-07-17 11:45:07,17.440s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/logoutPage/androidButtonProfile""), 0)",,,,2023-07-17 11:44:51,2023-07-17 11:45:05,14.300s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/logoutPage/android.logoutPage.Button.Logout""), 0)",,,,2023-07-17 11:45:05,2023-07-17 11:45:06,1.334s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/logoutPage/android.logoutPage.Button.SignOut""), 0)",,,,2023-07-17 11:45:06,2023-07-17 11:45:07,1.244s,PASSED
