Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PenugasanSubmit,,"Mengerjakan Penugasan Sampai Submit
Sync Task > Penugasan (Via Menu Button)",,2023-07-18 11:53:32,2023-07-18 11:55:19,1m - 46.695s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/PenugasanSyncTask,,Melakukan Sync Task,,2023-07-18 11:53:33,2023-07-18 11:54:09,36.370s,PASSED
"startExistingApplication(""pkp.mobile.fmui"")",,,,2023-07-18 11:53:34,2023-07-18 11:54:01,27.314s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/homePage/androidButtonProfile""), 0)",,,,2023-07-18 11:54:01,2023-07-18 11:54:02,1.166s,PASSED
"verifyElementVisible(findTestObject(""android.Page.ProfileView""), 0)",,,,2023-07-18 11:54:02,2023-07-18 11:54:03,0.944s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/profilePage/android.profilePage.ButtonSyncTask""), 0)",,,,2023-07-18 11:54:03,2023-07-18 11:54:04,0.927s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-18 11:54:04,2023-07-18 11:54:09,5.085s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/Penugasan_SampaiDraft,,,,2023-07-18 11:54:09,2023-07-18 11:54:30,21.034s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-18 11:54:10,2023-07-18 11:54:12,2.020s,PASSED
"verifyElementVisible(findTestObject(""android.Page.ProfileView""), 3)",,,,2023-07-18 11:54:12,2023-07-18 11:54:12,0.412s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-18 11:54:12,2023-07-18 11:54:17,5.016s,PASSED
"tap(findTestObject(""androidButtonMenu""), 0)",,,,2023-07-18 11:54:17,2023-07-18 11:54:19,1.604s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/menuPage/android.menuPage.Button.Penugasan""), 0)",,,,2023-07-18 11:54:19,2023-07-18 11:54:20,1.281s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.cardPenugasan""), 0)",,,,2023-07-18 11:54:20,2023-07-18 11:54:21,0.440s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Selanjutnya""), 0)",,,,2023-07-18 11:54:21,2023-07-18 11:54:23,2.544s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-18 11:54:23,2023-07-18 11:54:25,2.005s,PASSED
"swipe(0, 1926, 0, 1472)",,,,2023-07-18 11:54:25,2023-07-18 11:54:26,1.158s,PASSED
"verifyElementExist(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 3)",,,,2023-07-18 11:54:26,2023-07-18 11:54:27,0.280s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 0)",,,,2023-07-18 11:54:27,2023-07-18 11:54:28,1.101s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-18 11:54:28,2023-07-18 11:54:29,0.986s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-18 11:54:29,2023-07-18 11:54:30,1.213s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.popUpPage.yesButton""), 0)",,,,2023-07-18 11:54:30,2023-07-18 11:54:30,0.363s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/PenugasanTimsusOrReguler_BelumAdaKesepakatan,,,,2023-07-18 11:54:30,2023-07-18 11:55:19,48.458s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-18 11:54:31,2023-07-18 11:54:36,5.006s,PASSED
"tap(findTestObject(""android.widget.Button""), 0)",,,,2023-07-18 11:54:36,2023-07-18 11:54:37,1.249s,PASSED
"swipe(0, 1926, 0, 1472)",,,,2023-07-18 11:54:37,2023-07-18 11:54:39,1.116s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button (1)""), 0)",,,,2023-07-18 11:54:39,2023-07-18 11:54:40,1.182s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question1""), 0)",,,,2023-07-18 11:54:40,2023-07-18 11:54:41,1.207s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL1.List1""), 0)",,,,2023-07-18 11:54:41,2023-07-18 11:54:42,1.129s,PASSED
"tap(findTestObject(""Object Repository/android.view.View""), 0)",,,,2023-07-18 11:54:42,2023-07-18 11:54:43,1.175s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL1.List2""), 0)",,,,2023-07-18 11:54:43,2023-07-18 11:54:44,1.056s,PASSED
"tap(findTestObject(""Object Repository/android.view.View (1)""), 0)",,,,2023-07-18 11:54:44,2023-07-18 11:54:45,1.082s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL1.List3""), 0)",,,,2023-07-18 11:54:45,2023-07-18 11:54:47,1.501s,PASSED
"tap(findTestObject(""Object Repository/android.view.View (2)""), 0)",,,,2023-07-18 11:54:47,2023-07-18 11:54:48,1.241s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL1.List4""), 0)",,,,2023-07-18 11:54:48,2023-07-18 11:54:49,1.067s,PASSED
"tap(findTestObject(""Object Repository/android.view.View (3)""), 0)",,,,2023-07-18 11:54:49,2023-07-18 11:54:50,1.148s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL1.List5""), 0)",,,,2023-07-18 11:54:50,2023-07-18 11:54:51,0.423s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question2""), 0)",,,,2023-07-18 11:54:51,2023-07-18 11:54:52,1.636s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL2.List1""), 0)",,,,2023-07-18 11:54:52,2023-07-18 11:54:54,1.133s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question3""), 0)",,,,2023-07-18 11:54:54,2023-07-18 11:54:55,1.611s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL3.List1""), 0)",,,,2023-07-18 11:54:55,2023-07-18 11:54:56,1.076s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question4""), 0)",,,,2023-07-18 11:54:56,2023-07-18 11:54:57,1.122s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL4.List1""), 0)",,,,2023-07-18 11:54:57,2023-07-18 11:54:59,1.582s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question5""), 0)",,,,2023-07-18 11:54:59,2023-07-18 11:55:00,1.205s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.DDL5.List1""), 0)",,,,2023-07-18 11:55:00,2023-07-18 11:55:01,1.140s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question6""), 0)",,,,2023-07-18 11:55:01,2023-07-18 11:55:02,0.935s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.OKDatePicker.Question6""), 0)",,,,2023-07-18 11:55:02,2023-07-18 11:55:03,0.988s,PASSED
"swipe(0, 2113, 0, 1690)",,,,2023-07-18 11:55:03,2023-07-18 11:55:04,1.093s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question7(RegulerAndTimsus)""), 0)",,,,2023-07-18 11:55:04,2023-07-18 11:55:06,2.166s,PASSED
"sendKeys(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/DEL""), ""0817042023"")",,,,2023-07-18 11:55:06,2023-07-18 11:55:07,0.455s,PASSED
hideKeyboard(),,,,2023-07-18 11:55:07,2023-07-18 11:55:09,1.985s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Question8(RegulerAndTimsus)""), 0)",,,,2023-07-18 11:55:09,2023-07-18 11:55:10,1.452s,PASSED
"sendKeys(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/DEL (1)""), ""AutomateTest 17032023"")",,,,2023-07-18 11:55:10,2023-07-18 11:55:11,1.123s,PASSED
hideKeyboard(),,,,2023-07-18 11:55:11,2023-07-18 11:55:13,1.894s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Kirim(RegulerAndTimsus)""), 0)",,,,2023-07-18 11:55:13,2023-07-18 11:55:16,2.160s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.backToMainPage""), 0)",,,,2023-07-18 11:55:16,2023-07-18 11:55:18,2.087s,PASSED
closeApplication(),,,,2023-07-18 11:55:18,2023-07-18 11:55:19,1.223s,PASSED
