Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PenugasanSubmit(PickUpUnit),,Melakukan Penugasan dengan hasil Pick Unit Sukarela,,2023-07-21 09:37:44,2023-07-21 09:41:26,3m - 42.004s,FAILED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/PenugasanSyncTask,,Melakukan Sync Task,,2023-07-21 09:37:45,2023-07-21 09:38:31,46.662s,PASSED
"startExistingApplication(""pkp.mobile.fmui"")",,,,2023-07-21 09:37:46,2023-07-21 09:38:17,30.856s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/homePage/androidButtonProfile""), 0)",,,,2023-07-21 09:38:17,2023-07-21 09:38:24,7.046s,PASSED
"verifyElementVisible(findTestObject(""HAPUS/android.Page.ProfileView""), 0)",,,,2023-07-21 09:38:24,2023-07-21 09:38:25,0.942s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/profilePage/android.profilePage.ButtonSyncTask""), 0)",,,,2023-07-21 09:38:25,2023-07-21 09:38:26,1.380s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-21 09:38:26,2023-07-21 09:38:31,5.082s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/Penugasan_SampaiDraft,,,,2023-07-21 09:38:31,2023-07-21 09:38:55,23.329s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-21 09:38:32,2023-07-21 09:38:34,2.018s,PASSED
"verifyElementVisible(findTestObject(""HAPUS/android.Page.ProfileView""), 3)",,,,2023-07-21 09:38:34,2023-07-21 09:38:34,0.362s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-21 09:38:34,2023-07-21 09:38:39,5.010s,PASSED
"tap(findTestObject(""HAPUS/androidButtonMenu""), 0)",,,,2023-07-21 09:38:39,2023-07-21 09:38:41,1.155s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/menuPage/android.menuPage.Button.Penugasan""), 0)",,,,2023-07-21 09:38:41,2023-07-21 09:38:43,1.895s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.cardPenugasan""), 0)",,,,2023-07-21 09:38:43,2023-07-21 09:38:44,1.514s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Selanjutnya""), 0)",,,,2023-07-21 09:38:44,2023-07-21 09:38:47,2.927s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-21 09:38:47,2023-07-21 09:38:49,2.017s,PASSED
"swipe(0, 1926, 0, 1472)",,,,2023-07-21 09:38:49,2023-07-21 09:38:50,1.270s,PASSED
"verifyElementExist(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 3)",,,,2023-07-21 09:38:50,2023-07-21 09:38:51,0.334s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 0)",,,,2023-07-21 09:38:51,2023-07-21 09:38:52,1.218s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-21 09:38:52,2023-07-21 09:38:53,0.956s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-21 09:38:53,2023-07-21 09:38:54,1.438s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.popUpPage.yesButton""), 0)",,,,2023-07-21 09:38:54,2023-07-21 09:38:55,0.454s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/PenugasanTimsusOrReguler_PenyerahanUnitSukarela,,,,2023-07-21 09:38:55,2023-07-21 09:41:26,2m - 31.058s,FAILED
