Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PenugasanSubmit(PickUpUnit),,Melakukan Penugasan dengan hasil Pick Unit Sukarela,,2023-07-20 08:42:24,2023-07-20 08:44:55,2m - 31.618s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/PenugasanSyncTask,,Melakukan Sync Task,,2023-07-20 08:42:25,2023-07-20 08:43:07,42.947s,PASSED
"startExistingApplication(""pkp.mobile.fmui"")",,,,2023-07-20 08:42:26,2023-07-20 08:42:58,32.305s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/homePage/androidButtonProfile""), 0)",,,,2023-07-20 08:42:58,2023-07-20 08:42:59,1.325s,PASSED
"verifyElementVisible(findTestObject(""android.Page.ProfileView""), 0)",,,,2023-07-20 08:42:59,2023-07-20 08:43:00,1.084s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/profilePage/android.profilePage.ButtonSyncTask""), 0)",,,,2023-07-20 08:43:00,2023-07-20 08:43:02,2.156s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-20 08:43:02,2023-07-20 08:43:07,5.089s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/Penugasan_SampaiDraft,,,,2023-07-20 08:43:07,2023-07-20 08:43:32,24.762s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-20 08:43:08,2023-07-20 08:43:10,2.013s,PASSED
"verifyElementVisible(findTestObject(""android.Page.ProfileView""), 3)",,,,2023-07-20 08:43:10,2023-07-20 08:43:10,0.360s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-20 08:43:10,2023-07-20 08:43:16,5.021s,PASSED
"tap(findTestObject(""androidButtonMenu""), 0)",,,,2023-07-20 08:43:16,2023-07-20 08:43:17,1.761s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/menuPage/android.menuPage.Button.Penugasan""), 0)",,,,2023-07-20 08:43:17,2023-07-20 08:43:19,1.754s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.cardPenugasan""), 0)",,,,2023-07-20 08:43:19,2023-07-20 08:43:20,1.399s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Selanjutnya""), 0)",,,,2023-07-20 08:43:20,2023-07-20 08:43:23,2.588s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-20 08:43:23,2023-07-20 08:43:25,2.013s,PASSED
"swipe(0, 1926, 0, 1472)",,,,2023-07-20 08:43:25,2023-07-20 08:43:26,1.229s,PASSED
"verifyElementExist(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 3)",,,,2023-07-20 08:43:26,2023-07-20 08:43:27,0.844s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 0)",,,,2023-07-20 08:43:27,2023-07-20 08:43:27,0.391s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-20 08:43:27,2023-07-20 08:43:30,2.503s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-20 08:43:30,2023-07-20 08:43:31,1.016s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.popUpPage.yesButton""), 0)",,,,2023-07-20 08:43:31,2023-07-20 08:43:32,1.233s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/PenugasanTimsusOrReguler_PenyerahanUnitSukarela,,,,2023-07-20 08:43:32,2023-07-20 08:44:55,1m - 23.102s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-20 08:43:33,2023-07-20 08:43:35,2.012s,PASSED
