Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PenugasanSyncTask-PenugasanBayar,,,,2023-08-08 09:41:44,2023-08-08 09:46:10,4m - 26.089s,PASSED
,,,,,,,
Test Cases/APKTEST(FMUI)/androidLogin(TEST),,,,2023-08-08 09:41:45,2023-08-08 09:42:37,52.384s,PASSED
"startExistingApplication(""pkp.mobile.fmui"", STOP_ON_FAILURE)",,,,2023-08-08 09:41:48,2023-08-08 09:42:23,34.514s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/loginPage/android.loginPage.Field.Username""), 0)",,,,2023-08-08 09:42:23,2023-08-08 09:42:30,7.286s,PASSED
driver = getDriver(),,,,2023-08-08 09:42:30,2023-08-08 09:42:30,0.003s,PASSED
"getKeyboard().sendKeys(""mitra040323"")",,,,2023-08-08 09:42:30,2023-08-08 09:42:31,1.006s,PASSED
hideKeyboard(),,,,2023-08-08 09:42:31,2023-08-08 09:42:33,2.019s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/loginPage/android.loginPage.Field.Password""), 0)",,,,2023-08-08 09:42:33,2023-08-08 09:42:34,0.812s,PASSED
"getKeyboard().sendKeys(""1234Qwer"")",,,,2023-08-08 09:42:34,2023-08-08 09:42:34,0.509s,PASSED
hideKeyboard(),,,,2023-08-08 09:42:34,2023-08-08 09:42:36,1.924s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/loginPage/androidButtonLogin""), 2)",,,,2023-08-08 09:42:36,2023-08-08 09:42:37,1.283s,PASSED
,,,,,,,
Test Cases/APKTEST(FMUI)/Penugasan/PenugasanSyncTask,,Melakukan Sync Task,,2023-08-08 09:42:37,2023-08-08 09:43:03,25.642s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/homePage/androidButtonProfile""), 0)",,,,2023-08-08 09:42:39,2023-08-08 09:42:56,17.373s,PASSED
"verifyElementVisible(findTestObject(""HAPUS/android.Page.ProfileView""), 0)",,,,2023-08-08 09:42:56,2023-08-08 09:42:57,0.911s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/profilePage/android.profilePage.ButtonSyncTask""), 0)",,,,2023-08-08 09:42:57,2023-08-08 09:42:58,0.976s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-08-08 09:42:58,2023-08-08 09:43:03,5.073s,PASSED
,,,,,,,
Test Cases/APKTEST(FMUI)/Penugasan/Penugasan_SampaiDraft,,,,2023-08-08 09:43:03,2023-08-08 09:43:45,41.573s,PASSED
"startExistingApplication(""pkp.mobile.fmui"")",,,,2023-08-08 09:43:04,2023-08-08 09:43:24,19.717s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-08 09:43:24,2023-08-08 09:43:26,2.015s,PASSED
