Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_logout-UserInternal,Chrome 115.0.0.0,,,2023-07-27 10:49:50,2023-07-27 10:50:49,59.332s,FAILED
,,,,,,,
Test Cases/WEBDEV(FMUI)/loginUserHO,Chrome 115.0.0.0,Melakukan login meggunakan UserHO,,2023-07-27 10:49:50,2023-07-27 10:50:20,29.450s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-27 10:49:51,2023-07-27 10:49:54,2.863s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 115.0.0.0,,,2023-07-27 10:49:54,2023-07-27 10:49:54,0.166s,PASSED
"navigateToUrl(""https://motif-dev.fifgroup.co.id/#/"")",Chrome 115.0.0.0,,,2023-07-27 10:49:54,2023-07-27 10:49:55,1.227s,PASSED
"enhancedClick(findTestObject(""WEBDEV(FMUI)/loginPage/input_Username_form-control ng-untouched ng_437d41""))",Chrome 115.0.0.0,,,2023-07-27 10:49:55,2023-07-27 10:49:58,2.611s,PASSED
"sendKeys(findTestObject(""WEBDEV(FMUI)/loginPage/input_Username_form-control ng-untouched ng_437d41""), $USER_CODE)",Chrome 115.0.0.0,,,2023-07-27 10:49:58,2023-07-27 10:49:58,0.202s,PASSED
"enhancedClick(findTestObject(""WEBDEV(FMUI)/loginPage/input_Password_userPassword""))",Chrome 115.0.0.0,,,2023-07-27 10:49:58,2023-07-27 10:50:01,2.497s,PASSED
"setEncryptedText(findTestObject(""WEBDEV(FMUI)/loginPage/input_Password_userPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 115.0.0.0,,,2023-07-27 10:50:01,2023-07-27 10:50:01,0.185s,PASSED
"enhancedClick(findTestObject(""WEBDEV(FMUI)/loginPage/button_Masuk""))",Chrome 115.0.0.0,,,2023-07-27 10:50:01,2023-07-27 10:50:03,2.431s,PASSED
delay(5),Chrome 115.0.0.0,,,2023-07-27 10:50:03,2023-07-27 10:50:08,5.043s,PASSED
"enhancedClick(findTestObject(""WEBDEV(FMUI)/mainPage/Dropdown_Logout""))",Chrome 115.0.0.0,,,2023-07-27 10:50:08,2023-07-27 10:50:20,11.467s,PASSED
"enhancedClick(findTestObject(""WEBDEV(FMUI)/mainPage/button_Logout""))",Chrome 115.0.0.0,,,2023-07-27 10:50:20,2023-07-27 10:50:20,0.280s,PASSED
,,,,,,,
Test Cases/WEBDEV(FMUI)/loginUserHO,Chrome 115.0.0.0,Melakukan login meggunakan UserHO,,2023-07-27 10:50:20,2023-07-27 10:50:49,29.421s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-27 10:50:20,2023-07-27 10:50:23,2.998s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 115.0.0.0,,,2023-07-27 10:50:23,2023-07-27 10:50:23,0.161s,PASSED
"navigateToUrl(""https://motif-dev.fifgroup.co.id/#/"")",Chrome 115.0.0.0,,,2023-07-27 10:50:23,2023-07-27 10:50:25,1.382s,PASSED
"enhancedClick(findTestObject(""WEBDEV(FMUI)/loginPage/input_Username_form-control ng-untouched ng_437d41""))",Chrome 115.0.0.0,,,2023-07-27 10:50:25,2023-07-27 10:50:27,2.568s,PASSED
"sendKeys(findTestObject(""WEBDEV(FMUI)/loginPage/input_Username_form-control ng-untouched ng_437d41""), $USER_CODE)",Chrome 115.0.0.0,,,2023-07-27 10:50:27,2023-07-27 10:50:27,0.170s,PASSED
"enhancedClick(findTestObject(""WEBDEV(FMUI)/loginPage/input_Password_userPassword""))",Chrome 115.0.0.0,,,2023-07-27 10:50:27,2023-07-27 10:50:30,2.457s,PASSED
"setEncryptedText(findTestObject(""WEBDEV(FMUI)/loginPage/input_Password_userPassword""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 115.0.0.0,,,2023-07-27 10:50:30,2023-07-27 10:50:30,0.163s,PASSED
"enhancedClick(findTestObject(""WEBDEV(FMUI)/loginPage/button_Masuk""))",Chrome 115.0.0.0,,,2023-07-27 10:50:30,2023-07-27 10:50:32,2.536s,PASSED
delay(5),Chrome 115.0.0.0,,,2023-07-27 10:50:32,2023-07-27 10:50:37,5.017s,PASSED
"enhancedClick(findTestObject(""WEBDEV(FMUI)/mainPage/Dropdown_Logout""))",Chrome 115.0.0.0,,,2023-07-27 10:50:37,2023-07-27 10:50:47,9.357s,FAILED
